Subject	Time	Site	Organism	Recip_Ct
P18	21	Tongue	Tf	0.025297242600557
P19	21	Tongue	Tf	0.027843519420855
P20	21	Tongue	Tf	0.025
P21	21	Tongue	Tf	0.026730820636194
P22	21	Tongue	Tf	0.028993911278632
P23	21	Tongue	Tf	0.026191723415401
P24	21	Tongue	Tf	0.029014942695488
P25	21	Tongue	Tf	0.030275507114744
P11	21	Saliva	Tf	0.030234315948602
P12	21	Saliva	Tf	0.030609121518213
P13	21	Saliva	Tf	0.025
P14	21	Saliva	Tf	0.025
P15	21	Saliva	Tf	0.033439224209998
P16	21	Saliva	Tf	0.030534351145038
P17	21	Saliva	Tf	0.025
P18	21	Saliva	Tf	0.0290613193839
P19	21	Saliva	Tf	0.034989503149055
P20	21	Saliva	Tf	0.025
P21	21	Saliva	Tf	0.031989763275752
P22	21	Saliva	Tf	0.032128514056225
P23	21	Saliva	Tf	0.025
P24	21	Saliva	Tf	0.032552083333333
P25	21	Saliva	Tf	0.037488284910965
P11	35	Tongue	Tf	0.026903416733925
P12	35	Tongue	Tf	0.025
P13	35	Tongue	Tf	0.025
P14	35	Tongue	Tf	0.025
P15	35	Tongue	Tf	0.027552004408321
P16	35	Tongue	Tf	0.025
P17	35	Tongue	Tf	0.026888948642108
P18	35	Tongue	Tf	0.027685492801772
P19	35	Tongue	Tf	0.029235491887151
P20	35	Tongue	Tf	0.025
P21	35	Tongue	Tf	0.025
P22	35	Tongue	Tf	0.0287604256543
P23	35	Tongue	Tf	0.025451768897938
P24	35	Tongue	Tf	0.029141774734081
P25	35	Tongue	Tf	0.030959752321982
P11	35	Saliva	Tf	0.030511060259344
P12	35	Saliva	Tf	0.030469226081658
P13	35	Saliva	Tf	0.025
P14	35	Saliva	Tf	0.025
P15	35	Saliva	Tf	0.032546786004882
P16	35	Saliva	Tf	0.029112081513828
P17	35	Saliva	Tf	0.025
P18	35	Saliva	Tf	0.037397157816006
P19	35	Saliva	Tf	0.033316674995836
P20	35	Saliva	Tf	0.025
P21	35	Saliva	Tf	0.032414910858995
P22	35	Saliva	Tf	0.030826140567201
P23	35	Saliva	Tf	0.025
P24	35	Saliva	Tf	0.031264655307175
P25	35	Saliva	Tf	0.039261876717707
P11	-7	Tongue	Td	0.025
P12	-7	Tongue	Td	0.026381743833267
P13	-7	Tongue	Td	0.025
P14	-7	Tongue	Td	0.025
P15	-7	Tongue	Td	0.025
P16	-7	Tongue	Td	0.025
P17	-7	Tongue	Td	0.025859839668994
P18	-7	Tongue	Td	0.027056277056277
P19	-7	Tongue	Td	0.025412960609911
P20	-7	Tongue	Td	0.028901734104046
P21	-7	Tongue	Td	0.025
P22	-7	Tongue	Td	0.025601638504864
P23	-7	Tongue	Td	0.026427061310782
P24	-7	Tongue	Td	0.025
P25	-7	Tongue	Td	0.026802465826856
P11	-7	Saliva	Td	0.026720106880428
P12	-7	Saliva	Td	0.029158769499927
P13	-7	Saliva	Td	0.025
P14	-7	Saliva	Td	0.025
P15	-7	Saliva	Td	0.030066145520144
P16	-7	Saliva	Td	0.026806058169146
P17	-7	Saliva	Td	0.032035880185808
P18	-7	Saliva	Td	0.032304958811178
P19	-7	Saliva	Td	0.02801905295601
P20	-7	Saliva	Td	0.031303803412115
P21	-7	Saliva	Td	0.025
P22	-7	Saliva	Td	0.026968716289105
P23	-7	Saliva	Td	0.028743891922966
P24	-7	Saliva	Td	0.026656004264961
P25	-7	Saliva	Td	0.031892840057407
P11	21	Tongue	Td	0.026518164942986
P12	21	Tongue	Td	0.025773195876289
P13	21	Tongue	Td	0.025
P14	21	Tongue	Td	0.025
P15	21	Tongue	Td	0.025220680958386
P16	21	Tongue	Td	0.025
P17	21	Tongue	Td	0.027166530834013
P18	21	Tongue	Td	0.025
P19	21	Tongue	Td	0.025056376847908
P20	21	Tongue	Td	0.025
P21	21	Tongue	Td	0.025
P22	21	Tongue	Td	0.026246719160105
P23	21	Tongue	Td	0.025
P24	21	Tongue	Td	0.025
P25	21	Tongue	Td	0.029248318221702
P11	21	Saliva	Td	0.026946914578281
P12	21	Saliva	Td	0.028893383415198
P13	21	Saliva	Td	0.025
P14	21	Saliva	Td	0.025
P15	21	Saliva	Td	0.028810141169692
P16	21	Saliva	Td	0.026291573550677
P17	21	Saliva	Td	0.031402103940964
P18	21	Saliva	Td	0.028686173264487
P19	21	Saliva	Td	0.031172069825437
P20	21	Saliva	Td	0.030864197530864
P21	21	Saliva	Td	0.025
P22	21	Saliva	Td	0.030165912518854
P23	21	Saliva	Td	0.026734393797621
