"SubG_GLM_p"	"SupG_GLM_p"	"Sal_GLM_p"	"T_GLM_p"	"SubG_GLM_slope"	"SupG_GLM_slope"	"Sal_GLM_slope"	"T_GLM_slope"	"SubG_GLM_p_adj"	"SupG_GLM_p_adj"	"Sal_GLM_p_adj"	"T_GLM_p_adj"
"d__Bacteria; p__Desulfobacterota; c__Desulfovibrionia; o__Desulfovibrionales; f__Desulfovibrionaceae"	0.407264377825572	0.0149066780582364	0.21366600074842	0.940160963513417	-0.0169273385366385	-0.0374293708837594	-0.012779195151245	0.000646530701723076	0.494136812877095	0.0362019324271455	0.351515033489337	0.978534880391516
"d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae"	0.445405885753165	0.586409767022918	0.186622148439169	0.622024987924949	-0.00919316495481746	0.00407163099367653	0.00910975863776847	-0.00243654069212111	0.516265913032078	0.664597735959307	0.317257652346587	0.774678532701155
"d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Aerococcaceae"	0.29258761156288	0.0427251023301002	0.000261007043212104	0.253693909598597	0.025266942102794	0.0430761597415302	0.0923858574966499	0.0145227088017645	0.363950443651387	0.0751372489253486	0.00805118307999951	0.616113780453736
"d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Carnobacteriaceae"	0.00119061971054018	0.000219208905648043	0.0315855420779755	0.0309779109683108	-0.0479608135966342	-0.0524162462972504	-0.0165147536044118	-0.0337919181923974	0.00467089271058072	0.00111796541880502	0.14308912574874	0.394968364845963
"d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae"	3.06464441889435e-06	1.67015847922399e-07	0.248452716539178	0.140376736994242	-0.0624346751387799	-0.0497453549354759	-0.00845709561991941	-0.0174752618484406	4.80103605920473e-05	8.51780824404236e-06	0.383972380106002	0.570541094136327
"d__Bacteria; p__Firmicutes; c__Bacilli; o__RF39; f__RF39"	0.024851007555593	0.185087130226508	0.00955304497669697	0.784631046213297	0.0410195188346384	0.0247269848306496	0.0393564704957013	-0.00596579416011106	0.0422467128445082	0.272900873224254	0.0696007562587922	0.879478058450541
"d__Bacteria; p__Firmicutes; c__Bacilli; o__Staphylococcales; f__Gemellaceae"	0.249816899871254	0.0124265995649987	0.772814755932665	0.379099262127277	0.0142567321160995	0.0388053456717729	0.00210975357223025	-0.0135201524029287	0.318516547335849	0.0316878288907467	0.838586224522679	0.689829002637589
"d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridia_UCG-014; f__Clostridia_UCG-014"	4.65950462211186e-05	1.39727196419156e-06	0.448645785960626	0.843362689557031	0.0807384202919416	0.106447930699994	0.00806609014980323	0.00363010125396505	0.000297043419659631	2.37536233912565e-05	0.572023377099798	0.896072857654346
"d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridia_vadinBB60_group; f__Clostridia_vadinBB60_group"	0.042373825289399	0.0170525903937938	0.682905917568897	0.165253529087869	-0.0244486714047845	-0.0169640274465169	-0.00355170352325213	-0.0250345520316487	0.0675332840549796	0.0374447040455364	0.757134821652472	0.570541094136327
"d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Defluviitaleaceae"	0.56734868346303	0.410126708636301	0.590942261069736	0.146554599404505	0.0104413296734934	-0.0130635768983245	0.0051754218056976	0.01132790011879	0.615633677800309	0.51015761318174	0.708972908681948	0.570541094136327
"d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae"	0.00308845771452832	0.000655433764950368	0.170306210496344	0.653383473632554	0.0354226445839043	0.0524762438842801	-0.00888605873574673	-0.00395626697597956	0.0084947089225457	0.00278559350103906	0.317257652346587	0.793394217982387
"d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Oscillospiraceae"	0.000365071462744607	0.0562002799273514	0.820631288592279	0.466282854309505	-0.0598916184904972	-0.024555017710898	0.00247979183800084	-0.0165963355480913	0.00155155371666458	0.0930022981718007	0.871920744129296	0.689829002637589
"d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae"	0.00232485868776172	0.327415180283542	0.948738895967397	0.622780781191124	-0.0429496400160485	-0.00924291694023089	-0.000610124531715876	-0.00927531577150085	0.00741048706724049	0.417454354861516	0.965805023477392	0.774678532701155
"d__Bacteria; p__Firmicutes; c__Clostridia; o__Peptococcales; f__Peptococcaceae"	0.0242776944817633	0.862751142900887	0.965805023477392	0.484243157526583	0.0451462346087296	0.00292123989003002	0.000550555484827892	0.0117063718545287	0.0422467128445082	0.897965475264189	0.965805023477392	0.689829002637589
"d__Bacteria; p__Firmicutes; c__Clostridia; o__Peptostreptococcales-Tissierellales; f__Anaerovoracaceae"	0.0231689748851863	0.966868527455293	0.0963168643063953	0.501537097371212	0.0469270588574103	0.000814945998466443	-0.0182581457576047	-0.00641006647606009	0.0422006328265894	0.986205898004399	0.307010004976635	0.689829002637589
"d__Bacteria; p__Firmicutes; c__Clostridia; o__Peptostreptococcales-Tissierellales; f__Peptostreptococcaceae"	0.00196654051430134	0.128482054817408	0.166796104277848	0.190180364712109	0.0589895899944859	0.0352400712566918	-0.0128650025980139	-0.0239117831736924	0.00668623774862456	0.198563175626903	0.317257652346587	0.570541094136327
"d__Bacteria; p__Firmicutes; c__Clostridia; o__Peptostreptococcales-Tissierellales; f__Peptostreptococcales-Tissierellales"	0.010302698322501	0.306401752877863	0.141814709435852	0.544285759870389	0.0496102750512563	-0.0209880445561706	0.0160372037825713	0.0126751513178012	0.0218932339353147	0.400679215301821	0.317257652346587	0.71175830136897
"d__Bacteria; p__Firmicutes; c__Negativicutes; o__Veillonellales-Selenomonadales; f__Selenomonadaceae"	1.40615290313852e-06	9.86960705544527e-06	0.0336680295879389	0.170745083891965	0.11041252505921	0.0994459883661203	0.0257990866077888	0.0268393063284218	3.58568990300322e-05	0.000125837489956927	0.14308912574874	0.570541094136327
"d__Bacteria; p__Firmicutes; c__Negativicutes; o__Veillonellales-Selenomonadales; f__Veillonellaceae"	0.543412492292941	0.691225323452561	0.146457627771117	0.4053071262199	-0.00906045608239582	0.00628593737744308	-0.00958040652501227	-0.00795507085658569	0.602479067542174	0.750053010554907	0.317257652346587	0.689829002637589
"d__Bacteria; p__Fusobacteriota; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae"	0.00033538333141363	0.00172336808652013	0.403299071545824	0.176922866869715	0.042884868428176	0.0355048582455523	0.00799073011454366	0.0169134617156745	0.00155155371666458	0.0062779837437519	0.554540729858062	0.570541094136327
"d__Bacteria; p__Fusobacteriota; c__Fusobacteriia; o__Fusobacteriales; f__Leptotrichiaceae"	0.00366709667207271	1.37501715675554e-05	0.650071682217703	0.268281818969595	0.0504460824229501	0.0503994965803422	0.00544210283322615	0.0154544244878442	0.00890580620360516	0.000140251749989065	0.736747906513397	0.621926034884061
"d__Bacteria; p__Patescibacteria; c__Gracilibacteria; o__Absconditabacteriales_(SR1); f__Absconditabacteriales_(SR1)"	0.0558631080865424	0.00213176835690787	0.383850100901478	0.495648223740163	0.0414539871545796	0.0554014667287436	0.0138697378837775	0.0121622877142733	0.0863338943155655	0.00724801241348675	0.554540729858062	0.689829002637589
"d__Bacteria; p__Patescibacteria; c__Gracilibacteria; o__JGI_0000069-P22; f__JGI_0000069-P22"	0.01690708677574	0.000342978889815167	0.00627331425602237	0.123479931503156	0.0482186674103806	0.0699372600195971	0.0419085940480197	0.00980955248080257	0.0331639009831824	0.00159017485277941	0.0533231711761902	0.570541094136327
"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae"	0.0755969781766236	0.0110758047237556	0.12942469581858	0.508320025911253	-0.0344783865684626	-0.0465492400654968	0.0338477381356156	0.0122101637673549	0.113395467264935	0.0313666252904669	0.317257652346587	0.689829002637589
"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae"	0.00333125840099831	0.000124760445154852	0.000315732669803902	0.00293741945138672	0.0803030356442454	0.107332927890705	0.069509538062127	0.0563892544283075	0.0084947089225457	0.000908968957556776	0.00805118307999951	0.149808392020723
"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Neisseriaceae"	6.8549995257968e-05	0.00407027522062181	0.413187210482477	0.413471413935586	-0.0547685606865422	-0.0324667696430839	0.0090397833804816	-0.0154966253267935	0.000388449973128486	0.012974002265732	0.554540729858062	0.689829002637589
"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Cardiobacteriales; f__Cardiobacteriaceae"	0.244731512658768	0.524721205022013	0.110809016782173	0.418544117821011	0.017954832428302	0.00828658098341931	0.0296997089036389	0.0100712499246262	0.318516547335849	0.622343754793551	0.317257652346587	0.689829002637589
"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae"	0.0187785061535361	0.0221013546451015	0.436081627612692	0.0896731089035568	-0.0356710102768995	-0.0279541612489804	0.00752016397883741	-0.0256987348876738	0.035470511623346	0.0450867634760072	0.570260589955059	0.570541094136327
"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae"	0.00831631248261597	0.0420996689964508	0.0512109835968055	0.186739502704813	-0.0408891216347256	-0.0242327449008735	-0.0159317460010043	-0.0218772834675096	0.0184405189831919	0.0751372489253486	0.200904627956699	0.570541094136327
"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae"	0.472308495103876	0.566170679653048	0.183734712457849	0.16258014087272	0.0110389322793813	0.00809702352812399	0.0200768408899014	0.0185614629799654	0.535282961117726	0.656243287779669	0.317257652346587	0.570541094136327
"d__Bacteria; p__Spirochaetota; c__Spirochaetia; o__Spirochaetales; f__Spirochaetaceae"	3.76551847780763e-06	0.0163956412903342	0.155399120028271	0.300939358630245	0.110670133540474	0.0660343114301584	0.0159669793168294	0.0220296885312408	4.80103605920473e-05	0.0374447040455364	0.317257652346587	0.667300316962716
"d__Bacteria; p__Synergistota; c__Synergistia; o__Synergistales; f__Synergistaceae"	0.149957370330453	0.814196819654961	0.34651355388702	0.175065368309691	0.0362416741966286	-0.00544527827681299	-0.0117659629707491	-0.0131815087023609	0.212439607968142	0.865084120883397	0.519770330830529	0.570541094136327
