"SubG_GLM_p"	"SupG_GLM_p"	"Sal_GLM_p"	"T_GLM_p"	"SupG_GLM_slope"	"Sal_GLM_slope"	"T_GLM_slope"	"SubG_GLM_slope"	"SubG_GLM_p_adj"	"SupG_GLM_p_adj"	"Sal_GLM_p_adj"	"T_GLM_p_adj"
"01379856a76dd0f1022027f9868e8766"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"0139aa1d4de0283e28de0b8f7147fd58"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"013b6d84fea18b312010634a48d27c49"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"013c1ef0615d1d73375e909c8e9ffbdf"	NA	NA	0.774434442120895	0.119391304112141	NA	0.000321443819139072	-0.00545439438260123	NA	NA	NA	0.904747929977777	0.574858058310773
"014497d11cdb4e327536136f21d348fc"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"014a1e4bcd1348e8760ef1ca491d59d8"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"0150151ef9a2d0f45b655f6423ce5b35"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"0151139a67bfb57288e2e160b5ffd1c1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"0151fad47028a7bfd81267404967596e"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"0155c63061ba12f333dadae6754d2f39"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"0164b154f135c7eafd7ad66d8c2f065b"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"0169fb90f4d4ad1240f768e1b44fe411"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"016bd69285cec049e2a1a3a45b8907c8"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"016f17c48011099bf306fbe4e667e6d4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"016f2c18cd511c92c84c23b51ea17eec"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"017145416ec5abcf38115d7719ee0085"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"017477a921870a2254fbd1d69a897e65"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"018f30304ba588e9cc775e638cf39aa9"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"0197cf18d93d25a4827766d77ca55915"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"01a5a87f19ffbfa2e211a32f37677494"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"01a8ffbf36a72b2a8ea38a8ba3bd761b"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"01a94517be993f897ee4c3533712db6b"	0.0493337296830249	0.394463345250735	0.87778848294625	0.177348629453572	-0.0279653755654083	-0.00346338516659046	0.0158122247193536	0.0741867298625263	0.222549936125646	0.56421692107071	0.96226737453807	0.574858058310773
"01b0596a0c70d410dc071dc88019459d"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"01b38140a5d1099101298cec527b3949"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"01b5282693b32ef6d5be76585b077bb4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"01c1750128b3fd2da702bffbc12fb5b5"	NA	NA	NA	0.466417249594854	NA	NA	0.0103095560919207	NA	NA	NA	NA	0.812079224213694
"01d6e32c1ab1b5942a92d7bf2d24431c"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"01d93df40a88ec2ea8b17c6f51299801"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"01d9af7d1ecf8106f0b43573b95a79b6"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"01dd02c581aa95134d947aa28ba4067d"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"01e8ffc2f066c1316f199bf6ae527ea6"	0.94137174527195	0.643981995903812	NA	NA	-0.00423649489144121	NA	NA	0.000245851793283709	0.975988070940786	0.760919903088391	NA	NA
"01eec903aaf032b849639084058a083d"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"01efca81935a6503d2027e4a845f70b6"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"01f987388ceb08f8c0dbd0bad78c3241"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"01fe52fde97d2499f7aebe002451427c"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"021bc0f76e9e799ce2a4a1d22fc81a3d"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"022a155fe26ed2eae7901bfdb53629cf"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"022c657148da50487b06988b47e7ae73"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"02359c8734ee7412bd9137aa5ffdb56c"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"023631a9e9ddd65bb66cc7a24b8129e6"	0.736528429377403	0.0685056358586003	0.17669923566095	NA	0.0370971099231302	0.0328496083095176	NA	-0.00432910896960697	0.85928316760697	0.267085263853783	0.464427722894644	NA
"023ec2d37da02662d5e283b483016d5b"	NA	NA	NA	0.174963122704467	NA	NA	-0.0138120838497395	NA	NA	NA	NA	0.574858058310773
"0243e11fb2cd78fd76e4278feba64297"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"0247b67029a7313c4575630d2634d2c3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"025425ee91b6eef731ece2bbfaf36d9b"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"0256baf5cedfe0e22ccc72797ef469ce"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"025e19778c7e5e76c79f9dfda9a16d1b"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"025ea8d61403c9dc4210ea8a4ab0f417"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"025f251467149c2a148e7b79ad5ff6c1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"026bdde628a21381ce3cd97c20a50036"	NA	NA	0.323930340688909	0.785430480582067	NA	-0.00640348210402755	0.00331400529679021	NA	NA	NA	0.610844590904286	0.976739603477081
"026d02f45896ca3cbb508f8d439f24df"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"026e07e2b11c37cce30574482665895a"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"026ef0b6c417d3ee92d27cc8602d56b4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"0274b250c9529a20fed484777f6be311"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"0276ff3ad20f284e6073ea04f1e7294a"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"0277571fd0adc0a998a611e9e4d04dad"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"0283abaec1c68324a4becee8a201a07c"	8.80797697782914e-07	0.00572343681538517	0.117399869632549	NA	-0.0812608983023983	-0.0310503636804691	NA	-0.124396139973715	0.000539061821089419	0.081986859107651	0.448086413414284	NA
"028df4370b95e07dc088846a19ab8889"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"02905a8050c45e190619c26f0b33af40"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"029406122f461c51fa8b6464d47ea3b2"	NA	NA	0.755540723760256	0.19705660686941	NA	-0.00108277255649065	0.0131528506004674	NA	NA	NA	0.892417168681655	0.583385158753777
